,Age,Location,Phone Brand,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Gender_Male,Gender_Other,OS_iOS
37,20,2,7,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,0,0,1,0
38,22,6,1,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,4,0,1,0
39,19,6,0,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,0,1,0,1
40,49,7,7,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,3,0,1,0
41,54,0,8,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,3,1,0,0
42,40,1,8,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,4,1,0,0
43,52,6,9,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,3,0,0,0
44,42,8,1,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,0,0,1,0
45,23,4,7,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,1,0,1,0
46,51,8,7,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,0,0,1,0
47,19,1,6,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,3,1,0,0
48,52,3,9,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,3,0,1,0
49,17,7,0,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,1,0,1,1
50,31,0,3,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,0,0,0,0
51,49,5,4,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,3,0,1,0
52,21,3,2,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,0,1,0,0
53,51,7,4,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,3,1,0,0
54,32,8,8,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,3,0,1,0
55,43,1,9,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,4,0,1,0
56,25,1,4,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,4,1,0,0
57,16,9,3,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,4,0,0,0
58,49,9,2,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,0,1,0,0
59,35,4,9,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,2,1,0,0
60,49,9,0,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,1,1,0,1
61,34,6,0,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,1,0,0,1
62,38,5,5,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,0,0,1,0
63,38,0,4,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,4,0,0,0
64,41,3,6,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,0,0,0,0
65,41,1,7,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,0,0,0,0
66,30,0,7,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,4,0,0,0
67,43,6,1,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,0,1,0,0
68,40,6,7,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,3,0,0,0
69,18,3,5,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,2,1,0,0
70,24,3,0,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,4,0,0,1
71,51,7,5,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,3,0,0,0
72,23,6,2,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,2,0,1,0
73,43,6,6,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,2,0,1,0
74,31,0,1,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,4,1,0,0
75,56,3,5,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,2,0,0,0
76,51,0,7,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,1,0,0,0
77,19,6,2,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,1,0,1,0
78,26,9,9,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,3,0,1,0
79,28,2,9,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,2,1,0,0
80,37,9,4,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,4,0,1,0
81,42,7,1,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,0,0,1,0
82,46,9,6,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,1,0,1,0
83,52,5,7,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,0,1,0,0
84,23,4,7,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,1,0,0,0
85,25,4,3,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,1,0,0,0
86,39,0,3,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,0,0,0,0
87,43,7,8,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,3,0,1,0
88,39,5,7,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,3,1,0,0
89,38,7,5,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,2,1,0,0
90,46,7,2,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,2,0,1,0
91,33,5,8,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,0,1,0,0
92,51,3,3,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,2,0,1,0
93,57,9,3,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,1,0,1,0
94,59,9,1,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,1,1,0,0
95,21,6,8,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,2,0,1,0
96,17,4,2,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,1,0,1,0
97,22,8,1,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,4,1,0,0
98,25,1,0,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,1,1,0,1
99,29,6,2,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,3,0,0,0
100,31,9,0,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,0,0,0,1
101,39,9,0,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,3,1,0,1
102,15,8,6,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,4,0,1,0
103,21,3,0,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,1,1,0,1
104,56,4,2,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,1,1,0,0
105,29,5,9,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,2,0,0,0
106,58,2,9,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,3,0,0,0
107,40,2,9,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,4,0,1,0
108,38,4,6,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,3,0,1,0
109,32,3,4,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,4,0,1,0
110,28,4,7,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,0,0,0,0
111,57,5,3,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,2,1,0,0
112,43,5,5,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,3,0,0,0
113,54,4,1,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,3,0,1,0
114,15,9,5,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,0,0,1,0
115,27,5,0,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,0,1,0,1
116,56,2,6,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,1,1,0,0
117,15,5,3,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,0,0,1,0
118,19,2,2,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,2,0,0,0
119,31,8,6,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,4,0,1,0
120,44,2,3,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,2,0,1,0
121,53,4,1,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,1,1,0,0
122,46,8,7,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,3,0,1,0
123,25,4,4,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,1,0,1,0
124,49,9,1,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,3,1,0,0
125,23,9,5,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,4,0,0,0
126,24,3,7,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,2,1,0,0
127,21,8,5,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,1,1,0,0
128,39,3,0,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,4,0,0,1
129,50,3,2,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,3,0,0,0
130,25,4,4,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,0,0,1,0
131,21,7,8,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,1,0,1,0
132,39,4,1,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,3,0,0,0
133,48,2,0,5.0,22.5,98.8,143,2.1,708,7.6,2.9,1389,3,1,0,1
134,18,7,0,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,3,0,1,1
135,56,5,3,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,1,1,0,0
136,43,7,7,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,4,0,1,0
137,59,0,9,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,1,1,0,0
138,33,0,0,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,2,1,0,1
139,19,7,8,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,3,1,0,0
140,59,6,9,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,2,0,0,0
141,49,5,3,1.8,14.2,176.7,138,3.4,4034,8.0,2.5,1130,0,1,0,0
142,53,1,9,8.1,22.6,228.5,48,2.8,1175,5.0,2.2,176,2,0,0,0
143,49,7,2,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,3,0,1,0
144,57,2,2,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,1653,3,0,1,0
145,45,8,8,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,3,1,0,0
146,18,4,0,6.0,16.7,201.8,43,2.9,4640,5.2,4.6,1497,1,1,0,1
147,42,2,1,5.5,49.4,55.7,117,1.4,9032,2.0,4.5,332,1,1,0,0
148,39,4,5,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,3,1,0,0
149,60,9,7,11.8,40.7,134.9,75,2.0,837,2.3,1.8,387,0,1,0,0
150,16,2,7,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,1,0,1,0
151,51,3,6,1.7,26.0,80.4,33,5.7,8873,4.0,1.3,1318,3,1,0,0
152,50,3,2,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,4,0,1,0
153,29,7,8,3.9,19.0,64.4,106,1.0,9942,3.3,0.3,612,3,0,0,0
154,51,7,4,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,2,0,0,0
155,50,0,3,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,1047,3,0,1,0
156,34,6,4,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,3,0,1,0
157,16,5,2,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,0,0,1,0
158,35,4,9,7.9,33.3,50.0,90,5.8,8385,6.2,4.0,633,4,0,0,0
159,39,9,5,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,3,1,0,0
160,38,5,3,5.0,27.2,166.8,152,1.8,1111,0.7,4.0,578,4,1,0,0
161,34,8,6,9.4,9.7,96.8,19,4.0,7564,3.2,2.1,1003,4,0,1,0
162,58,8,0,7.1,43.3,248.5,57,2.6,8474,2.0,0.9,160,2,0,1,1
163,40,2,8,9.9,14.7,128.0,121,3.6,3870,5.2,3.8,258,3,0,1,0
164,20,5,1,9.0,6.0,137.9,49,0.7,8615,0.8,2.3,223,0,0,0,0
165,29,2,5,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,2,1,0,0
166,29,2,5,8.1,37.9,218.4,93,4.0,7142,5.5,0.1,157,2,0,1,0
167,33,0,1,3.6,36.2,83.9,52,4.9,639,7.9,3.0,1480,2,0,1,0
168,28,4,7,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,1813,3,0,1,0
169,28,5,7,7.5,20.6,205.1,188,3.7,7816,3.4,3.0,952,3,0,0,0
170,47,8,3,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,757,0,1,0,0
171,39,2,1,12.0,32.2,35.9,16,4.1,1414,0.8,3.6,233,1,0,0,0
172,47,2,7,5.0,26.6,250.1,21,3.8,2485,7.6,0.6,1723,3,1,0,0
173,19,8,9,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,3,0,1,0
174,54,4,1,8.7,30.9,286.4,173,3.0,2456,6.8,2.3,1716,3,1,0,0
175,44,0,3,3.7,26.1,275.5,119,2.8,957,2.4,1.8,590,4,0,0,0
176,52,7,4,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,1804,3,0,0,0
177,43,9,3,5.4,21.2,244.2,140,3.3,8206,7.9,1.0,1178,3,1,0,0
178,50,6,4,4.0,9.2,267.7,53,5.7,6357,0.7,1.2,1479,4,1,0,0
179,30,8,6,5.8,15.2,116.0,10,2.5,1605,4.7,0.2,897,1,1,0,0
180,38,4,7,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,408,3,0,1,0
181,33,4,6,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,1484,4,0,0,0
182,53,9,1,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,1150,4,0,0,0
183,56,6,4,10.4,47.4,168.2,127,1.8,126,5.3,1.3,319,3,1,0,0
184,58,9,5,5.4,14.8,106.0,58,5.0,3633,1.7,4.6,703,1,0,0,0
185,31,7,0,11.8,35.5,132.0,91,4.4,4462,0.8,2.8,858,1,0,0,1
186,42,8,6,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,4,0,0,0
187,48,2,1,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,4,0,0,0
188,51,3,3,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,1,0,0,0
189,58,5,2,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,2,0,0,0
190,32,4,8,1.6,9.1,122.1,120,3.7,2559,6.0,1.3,1557,2,0,1,0
191,41,3,7,4.6,49.0,89.2,28,4.8,8197,6.9,4.4,1969,3,0,0,0
192,20,5,6,5.0,33.3,28.3,70,3.1,2828,3.7,2.1,418,3,1,0,0
193,52,4,3,2.1,50.0,165.8,126,2.7,5500,6.4,3.9,739,1,0,1,0
194,53,8,1,3.3,43.2,102.8,140,1.3,1248,3.5,0.0,846,3,0,1,0
195,23,2,9,8.4,8.0,124.2,51,4.3,6406,3.1,0.1,953,0,1,0,0
196,36,4,1,3.0,41.0,188.4,95,1.8,627,1.7,4.0,1407,3,1,0,0
197,34,6,3,3.9,43.6,296.2,193,0.8,2430,1.9,4.0,1128,2,0,0,0
198,45,3,0,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,1082,3,0,1,1
199,49,0,6,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,2,0,0,0
200,17,8,4,4.1,20.9,29.9,161,5.0,3385,7.8,2.3,1139,0,0,1,0
201,33,3,6,8.7,7.5,258.6,42,4.6,8676,3.0,1.9,366,2,0,1,0
202,41,5,4,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,395,0,0,1,0
203,45,4,4,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,929,2,0,1,0
204,25,3,6,1.5,19.1,235.2,17,2.0,5411,7.5,4.6,1540,0,0,0,0
205,60,3,9,7.9,32.2,238.0,65,2.2,4387,7.3,4.1,171,1,0,1,0
206,59,7,5,7.2,1.0,147.4,93,3.6,3533,3.2,3.5,541,4,0,1,0
207,23,1,9,3.2,32.2,92.2,112,4.1,6328,1.9,2.0,252,3,0,0,0
208,21,0,6,2.7,25.3,76.5,169,5.9,2312,4.0,1.8,185,2,1,0,0
209,16,2,5,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,4,1,0,0
210,15,6,8,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,4,0,1,0
211,20,5,5,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,1,0,0,0
212,37,4,2,9.7,26.3,94.1,31,3.8,9853,7.8,4.9,644,3,1,0,0
213,18,1,1,10.7,24.8,170.7,184,1.0,9616,2.0,3.8,1542,4,0,1,0
214,33,3,7,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,3,0,1,0
215,21,5,1,12.0,18.0,211.5,113,3.1,1204,1.3,2.0,1766,4,1,0,0
216,28,0,5,10.1,23.4,209.2,78,5.7,5198,4.1,1.6,1712,2,0,1,0
217,26,5,1,5.5,8.5,207.8,132,1.4,2955,3.0,0.5,388,1,0,0,0
218,51,0,5,5.4,49.1,106.7,126,1.3,187,5.2,0.7,1496,1,0,1,0
219,43,1,7,4.8,22.0,23.9,187,3.7,8962,6.1,4.8,519,3,0,1,0
220,37,0,9,6.2,22.0,206.9,58,3.6,625,3.4,4.1,198,1,0,0,0
221,34,4,8,8.2,43.2,30.6,14,5.1,1312,6.5,3.9,1861,4,0,0,0
222,45,9,8,3.9,15.1,68.9,124,5.0,1599,4.5,1.7,1484,2,1,0,0
223,26,7,5,7.0,27.7,199.0,82,3.9,3790,5.4,3.2,1004,1,0,0,0
224,26,6,1,9.4,16.1,121.1,52,0.8,5732,1.0,4.4,1882,4,0,1,0
225,55,2,2,7.5,4.2,71.0,171,1.0,8505,4.6,3.7,364,4,0,0,0
226,20,2,6,4.0,2.5,219.7,83,4.3,891,0.7,3.4,706,0,1,0,0
227,41,7,0,10.1,38.2,66.3,126,3.5,2472,3.7,4.4,1901,0,0,0,1
228,25,8,2,6.4,8.4,5.7,168,3.4,4312,1.1,2.4,651,2,0,0,0
229,31,8,3,9.5,20.0,299.1,185,5.2,4643,5.7,2.5,529,3,0,1,0
230,36,5,3,1.7,1.7,179.2,103,3.0,737,2.6,2.9,810,1,0,1,0
231,24,7,7,11.1,31.5,177.7,94,3.3,6017,1.2,2.3,1413,4,1,0,0
232,34,9,5,11.0,16.9,80.3,56,4.7,4364,7.9,4.4,1038,4,0,1,0
233,33,9,8,7.1,29.7,140.9,149,3.1,7909,4.7,3.9,281,0,0,1,0
234,43,0,9,3.8,25.4,66.9,80,2.4,824,3.4,1.0,1093,0,1,0,0
235,20,2,7,8.5,49.5,199.5,136,0.5,8540,2.2,4.4,880,3,0,1,0
236,26,4,6,1.7,39.0,195.8,14,1.8,2268,7.2,1.0,669,4,0,1,0
237,49,7,1,7.1,27.5,137.6,182,3.5,9288,7.2,2.5,1342,3,0,1,0
238,48,9,6,7.0,28.3,87.1,106,5.0,6815,2.5,3.4,775,4,1,0,0
239,23,1,7,2.9,47.3,150.7,92,4.0,3099,2.7,1.9,525,3,1,0,0
240,23,3,0,3.1,18.1,231.2,132,3.6,2624,2.3,1.6,1594,4,1,0,1
241,40,6,6,6.9,16.6,65.1,164,1.2,5691,4.3,3.3,872,1,0,0,0
242,42,8,9,3.4,31.8,212.0,77,2.6,4230,7.4,1.7,1159,3,0,1,0
243,52,1,4,1.3,15.1,241.0,72,0.9,6597,1.0,1.0,1841,3,1,0,0
244,59,3,1,10.2,32.6,192.0,175,3.6,6366,5.5,3.0,1744,3,1,0,0
245,58,5,0,11.2,14.3,287.8,106,5.7,7811,7.7,3.1,363,2,0,0,1
246,59,4,4,9.9,31.3,236.6,52,4.7,5833,2.2,0.1,268,0,0,1,0
247,59,6,5,6.4,47.2,232.7,173,5.9,5604,6.5,3.2,1404,0,1,0,0
248,15,6,3,9.5,34.1,26.3,22,3.1,3896,1.3,2.3,782,1,0,1,0
249,54,9,5,4.5,42.6,61.8,96,1.5,4443,6.0,0.5,1786,0,0,1,0
250,34,2,5,10.6,28.3,154.5,180,4.5,689,7.0,4.1,708,0,1,0,0
251,19,4,5,11.4,21.7,21.3,194,4.5,4948,4.3,0.0,1343,3,1,0,0
252,22,5,6,9.3,21.2,227.5,48,0.8,7296,3.0,5.0,546,4,0,1,0
253,41,5,1,8.0,47.9,210.7,156,3.1,7026,5.2,2.0,354,4,0,1,0
254,50,5,3,6.9,15.0,295.9,173,2.4,8166,4.1,4.8,525,4,0,1,0
255,26,6,2,2.4,19.5,284.8,134,4.8,9287,5.6,3.7,1629,2,0,0,0
256,31,3,2,10.4,21.4,60.6,119,1.3,248,7.4,4.9,1984,0,1,0,0
257,27,3,9,4.3,20.1,231.5,29,5.3,6540,6.3,4.2,1416,1,0,1,0
258,54,6,6,3.2,18.5,75.8,138,4.1,6117,0.9,3.1,796,4,1,0,0
259,43,0,0,10.1,18.9,52.2,32,3.0,1586,3.2,4.9,1716,4,0,0,1
260,24,4,7,10.3,47.9,271.2,175,4.8,7790,6.5,1.1,367,0,0,0,0
261,60,2,9,3.1,4.4,259.8,73,0.9,5023,2.4,1.1,1188,2,0,0,0
262,38,5,1,7.3,44.3,58.6,58,4.1,4357,7.9,2.8,1814,3,0,1,0
263,24,1,8,8.4,34.0,295.8,58,4.7,9786,3.8,3.6,1549,2,1,0,0
264,34,3,6,3.7,12.8,62.7,111,3.5,1381,8.0,1.8,1500,0,1,0,0
265,28,0,7,8.5,25.1,150.0,142,0.9,7911,6.0,2.8,1083,4,0,1,0
266,23,4,3,4.1,14.0,246.6,26,1.1,7727,4.8,1.1,555,3,0,1,0
267,16,3,0,9.1,9.9,133.5,89,2.0,9075,4.2,2.0,663,3,1,0,1
268,19,6,0,4.8,29.6,50.4,85,2.7,3899,7.0,0.2,783,4,0,1,1
269,57,7,8,1.6,18.7,220.0,77,4.4,1291,2.0,2.7,1280,3,1,0,0
270,17,7,8,2.5,38.1,270.7,119,1.8,5179,6.4,1.3,408,0,1,0,0
271,15,8,1,10.9,13.5,97.5,132,2.5,5377,4.6,3.7,1300,3,0,1,0
272,17,1,2,8.7,20.9,21.0,34,2.1,1836,2.0,3.0,867,3,0,1,0
273,38,1,3,8.6,7.5,69.0,17,4.4,4190,2.9,4.6,1540,4,0,1,0
274,39,0,9,9.7,13.3,87.6,93,1.7,4550,3.0,3.9,1461,1,0,1,0
275,55,5,3,1.6,37.6,227.7,126,1.8,6117,7.4,1.9,1819,1,0,1,0
276,19,0,1,7.3,46.6,208.3,109,3.8,1010,5.3,2.5,921,2,0,0,0
277,42,1,4,4.2,40.9,158.8,88,5.2,6211,3.9,2.4,589,0,0,0,0
278,19,6,7,3.7,32.7,194.3,87,3.4,1306,6.3,2.6,1596,2,0,0,0
279,30,9,9,1.3,30.2,93.6,86,4.9,9830,6.7,0.3,617,3,0,1,0
280,52,4,9,3.0,39.5,65.0,126,5.8,7988,7.5,3.8,1912,2,0,0,0
281,34,2,5,8.7,28.5,108.0,39,5.3,2493,1.0,3.4,702,4,0,1,0
282,25,4,5,2.8,31.8,98.3,72,3.9,3966,0.6,1.3,645,2,1,0,0
283,23,6,3,10.0,17.4,61.9,199,4.3,1817,5.6,2.3,570,3,0,0,0
284,45,7,0,10.2,12.4,268.8,71,0.9,1432,4.2,4.6,268,2,1,0,1
285,39,4,2,10.6,26.3,40.7,20,0.9,2643,4.2,0.9,1591,4,0,1,0
286,46,5,7,5.7,1.1,127.2,31,4.3,8198,5.1,1.3,1310,0,1,0,0
287,54,8,5,5.2,17.9,288.3,164,4.5,4274,5.8,0.9,999,4,0,1,0
